source:pkey,name,addr:full,addr:housenumber,addr:postcode,addr:city,phone,fax,email,website,source:date,addr:street,addr:unit,amenity,emergency
3619647,Consultori Local Passanant," Pl Major, 2", 2,43425,Passanant i Belltall,977898701,,,,2020-03-19T07:59:41, PlaçaMajor,,clinic,
3619968,Atenció Continuada Cap Deltebre," Av Esportiva, 164", 164,43580,Deltebre,977489691,977 48 92 35,,,2020-03-19T07:59:35, Av Esportiva,,clinic,yes
3620032,Cap Ponts," Ct De Lleida, 3", 3,25740,Ponts,973461000,973 46 21 33,ponts.lleida.ics@gencat.cat,,2020-03-19T07:59:56, Ct De Lleida,,clinic,
3619993,Consultori Local Àger," Cr La Font, S/N", ,25691,Àger,973455013,,,,2020-03-19T07:59:57, Cr La Font,,clinic,
3619824,Cuap I Hospital Lleuger Gimbernat," Pl De L'Ajuntament, 4", 4,43850,Cambrils,,,abscambrils_ccee@grupsagessa.com,,2020-03-19T07:59:46, PlaçaDe L'Ajuntament,,clinic,yes
3620257,Cap Castelló D'Empúries," Cr Rentador, S/N", ,17486,Castelló d'Empúries,972250862,972 15 82 83,eap_roses.girona.ics@gencat.cat,,2020-03-19T07:59:32, Cr Rentador,,clinic,
3621162,Consultori Local Puigcercós," Pl Major, S/N", ,25633,Tremp,973085001,973 65 04 86,,,2020-03-19T07:59:00, PlaçaMajor,,clinic,
3620316,Cuap Igualada," Av Catalunya, 11", 11,08700,Igualada,938075800,,,http://www.csa.cat,2020-03-19T07:59:14, Av Catalunya,,clinic,yes
3622039,Cap Barri Llatí," Cr Perú, 60-62", 60-62,08921,Santa Coloma de Gramenet,934685190,93 392 69 52,abs2.stacoloma.sanitat@gencat.cat,,2020-03-19T07:58:06, Cr Perú,,clinic,
3622191,Cap Torrent Dels Llops," Cr Puig Del Ravell, 10", 10,08760,Martorell,937736758,93 775 17 22,admtorrentllops@ambitcp.catsalut.net,,2020-03-19T07:58:53, Cr Puig Del Ravell,,clinic,
3622209,Cap Baix A Mar," Pl Boleranys, 5", 5,08800,Vilanova i la Geltrú,938103003,,,,2020-03-19T07:58:02, PlaçaBoleranys,,clinic,
3622481,Cap Montgat," Cr Sant Antoni M. Claret, S/N", ,08390,Montgat,934694930,93 469 18 14,bsa@bsa.cat,https://www.bsa.cat/,2020-03-19T07:57:59, Cr Sant Antoni M. Claret,,clinic,
3622017,Atenció Continuada Cap Corbera De Llobregat," Cr Buenos Aires, 9", 9,08757,Corbera de Llobregat,936505301,93 650 18 53,admcorbe.bln.cp.ics@gencat.net,,2020-03-19T07:58:56, Cr Buenos Aires,,clinic,yes
6052591,Atenció Continuada Cap Torelló," Av Pompeu Fabra, 8", 8,08570,Torelló,938504841,,,,2020-03-19T07:59:06, Av Pompeu Fabra,,clinic,yes
9013531,Atenció Continuada Cap Mataró Centre," Cm Ral, 208-210", 208-210,08301,Mataró,,,,,2020-03-19T07:58:01, Cm Ral,,clinic,yes
10927536,Assir Anoia Igualada," Ps Verdaguer, 170", 170,08700,Igualada,938053500,93 806 62 32,,,2020-03-19T07:59:14, Ps Verdaguer,,clinic,
