ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-164-F,ALICANTE,Agost,CARLOS GISBERT ARQUES,"PLAZA DE ESPAÑA, 19, 03698",19,8,25
A-285-F,ALICANTE,Agost,FRANCISCO AYUSO MACIA,"Avinguda de Virgen de la Paz, 30, 03698",19,8,25
A-510-F,ALICANTE,Agres,INMACULADA FERRERO PEREZ,"Carrer de San Antonio, 13, 03837",15,9,15
A-540-F,ALICANTE,Aigües,JAVIER VILLAMAYOR PIÑAS,"Carrer de CANALEJAS, 12, 03569",17,6,22
A-13-F,ALICANTE,Albatera,ISABEL BALSAMEDA MORALES,"Carrer de Ramon y Cajal, 6, 03340",21,1,35
A-14-F,ALICANTE,Albatera,"MARIA JOSE BALMASEDA DEL ALAMO, ARTURO CORBACHO VICENT","Carretera de HONDON. EDIF.ROMEO, S/N, 03340",21,1,35
A-580-F,ALICANTE,Albatera,MARIA DEL MAR GARCIA MOLINA,"Avinguda de Calvario, 39, 03340",21,1,35
A-814-F,ALICANTE,Albatera,FRANCISCO GARCIA CANOVAS,"Carrer de Meson, 45, 03340",21,1,35
A-531-F,ALICANTE,Alcalalí,ENCARNACION MOLL MENGUAL,"Carrer de Calvari, 7, 03728",13,1,1
A-748-F,ALICANTE,Alcalalí,RAQUEL FERRER GONZALEZ,"Carrer de SALAMANCA, 19, 03723",13,8,1
A-642-F,ALICANTE,Alcocer de Planes,SUSANA  MARTINEZ VALLES,"Carrer de San Jose, 1, 03841",15,9,15
A-546-F,ALICANTE,Alcoleja,GEMMA BERNABEU IVORRA,"Avinguda de DEL PAIS VALENCIANO, 10, 03814",15,5,14
A-104-F,ALICANTE,Alcoi / Alcoy,MARIA VICENTA CERDA FERRE,"Carrer de Santa Rosa, 19, 03802",15,2,9
A-122-F,ALICANTE,Alcoi / Alcoy,"INÉS LLOPIS BOLUDA, MARIA JOSÉ LLOPIS BOLUDA","Carrer de Na Saurina d’Entença, 45, 03803",15,2,9
A-126-F,ALICANTE,Alcoi / Alcoy,SANTIAGO LLULL MIR,"Carrer de Ibi, 20, 03802",15,2,9
A-171-F,ALICANTE,Alcoi / Alcoy,FRANCISCO ENRIQUE DOMINGUEZ,"Carrer de Oliver, 15, 03802",15,2,9
A-184-F,ALICANTE,Alcoi / Alcoy,MARÍA TERESA PENADES PINILLA,"Carrer de Sant Nicolau, 18, 03801",15,1,9
A-226-F,ALICANTE,Alcoi / Alcoy,MARGARITA ROBLES SAEZ,"Carrer de Sant Llorenç, 25, 03801",15,1,9
A-227-F,ALICANTE,Alcoi / Alcoy,ISABEL MARIA RAMIREZ RODRIGUEZ,"Carrer de Alçamora (els), 19, 03802",15,2,9
A-229-F,ALICANTE,Alcoi / Alcoy,MIGUEL DOMENECH LLORET,"Avinguda de Alameda de Camilo Sesto, 53, 03803",15,2,9
