source:pkey,addr:province,addr:city,operator,addr:full,addr:street,addr:housenumber,addr:postcode,source,amenity,addr_full,gcode
A-14-F,Alicante,Albatera,"Maria Jose Balmaseda Del Alamo, Arturo Corbacho Vicent","Carretera de HONDON. EDIF.ROMEO, S/N, 03340",Carretera de HONDON. EDIF.ROMEO, , 03340,Opendata Generalitat Valenciana,pharmacy,"Carretera de HONDON. EDIF.ROMEO, Albatera, Alicante",
A-122-F,Alicante,Alcoi / Alcoy,"Inés Llopis Boluda, Maria José Llopis Boluda","Carrer de Na Saurina d’Entença, 45, 03803",Carrer de Na Saurina d’Entença, 45, 03803,Opendata Generalitat Valenciana,pharmacy,"Carrer de Na Saurina d’Entença, Alcoi / Alcoy, Alicante",
A-229-F,Alicante,Alcoi / Alcoy,Miguel Domenech Lloret,"Avinguda de Alameda de Camilo Sesto, 53, 03803",Avinguda de Alameda de Camilo Sesto, 53, 03803,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Alameda de Camilo Sesto, Alcoi / Alcoy, Alicante",
A-231-F,Alicante,Alcoi / Alcoy,María Carmen Azorín Navarro,"Avinguda de Juan Gil - Albert, 13, 03804",Avinguda de Juan Gil - Albert, 13, 03804,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Juan Gil - Albert, Alcoi / Alcoy, Alicante",
A-338-F,Alicante,Alcoi / Alcoy,"Juan Antonio Lopez Cobelo, Carlos Lopez Cobelo","Carrer de Lluis Braille, 17, 03802",Carrer de Lluis Braille, 17, 03802,Opendata Generalitat Valenciana,pharmacy,"Carrer de Lluis Braille, Alcoi / Alcoy, Alicante",
A-353-F,Alicante,Alcoi / Alcoy,Verónica Sempere Matarredona,"Avinguda de Juan Gil - Albert, 18, 03804",Avinguda de Juan Gil - Albert, 18, 03804,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Juan Gil - Albert, Alcoi / Alcoy, Alicante",
A-727-F,Alicante,L'Alfàs Del Pi,Manuel Carlos Reche Moreno,"Carrer de Poeta Miguel Hernandez, 1, 03580",Carrer de Poeta Miguel Hernandez, 1, 03580,Opendata Generalitat Valenciana,pharmacy,"Carrer de Poeta Miguel Hernandez, L'Alfàs Del Pi, Alicante",
A-354-F,Alicante,Alacant / Alicante,Raimunda López Sánchez,"Carrer de Presbitero B. Carrasco, 34, 03005",Carrer de Presbitero B. Carrasco, 34, 03005,Opendata Generalitat Valenciana,pharmacy,"Carrer de Presbitero B. Carrasco, Alacant / Alicante, Alicante",
A-35-F,Alicante,Alacant / Alicante,Mª Francisca Montoliu Blasco,"Carrer de Adolfo MuÃ±oz Alonso, 12, 03005",Carrer de Adolfo MuÃ±oz Alonso, 12, 03005,Opendata Generalitat Valenciana,pharmacy,"Carrer de Adolfo MuÃ±oz Alonso, Alacant / Alicante, Alicante",
A-368-F,Alicante,Alacant / Alicante,Fernando Cabrera Torres,"Carrer de Periodista Fco.Bas Mingot, 71, 03015",Carrer de Periodista Fco.Bas Mingot, 71, 03015,Opendata Generalitat Valenciana,pharmacy,"Carrer de Periodista Fco.Bas Mingot, Alacant / Alicante, Alicante",
A-385-F,Alicante,Alacant / Alicante,Purificacion Ruiz Megias,"Carrer de General Millan Astray, 58, 03008",Carrer de General Millan Astray, 58, 03008,Opendata Generalitat Valenciana,pharmacy,"Carrer de General Millan Astray, Alacant / Alicante, Alicante",
A-387-F,Alicante,Alacant / Alicante,Maria Luisa Molto Calabuig,"Carrer de SOCIEDAD CULTURAL Y DEPORTIVA BETIS-FLORIDA, 15, 03007",Carrer de SOCIEDAD CULTURAL Y DEPORTIVA BETIS-FLORIDA, 15, 03007,Opendata Generalitat Valenciana,pharmacy,"Carrer de SOCIEDAD CULTURAL Y DEPORTIVA BETIS-FLORIDA, Alacant / Alicante, Alicante",
