ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-164-F,ALICANTE,AGOST,CARLOS GISBERT ARQUES,"PLAZA DE ESPAÑA, 19, 03698",19,8,25
A-285-F,ALICANTE,AGOST,FRANCISCO AYUSO MACIA,"AVDA Virgen de la Paz, 30, 03698",19,8,25
A-510-F,ALICANTE,AGRES,INMACULADA FERRERO PEREZ,"CALLE San Antonio, 13, 03837",15,9,15
A-540-F,ALICANTE,AIGUES,JAVIER VILLAMAYOR PIÑAS,"CALLE CANALEJAS, 12, 03569",17,6,22
A-13-F,ALICANTE,ALBATERA,ISABEL BALSAMEDA MORALES,"CALLE Ramon y Cajal, 6, 03340",21,1,35
A-14-F,ALICANTE,ALBATERA,"MARIA JOSE BALMASEDA DEL ALAMO, ARTURO CORBACHO VICENT","CTRA HONDON. EDIF.ROMEO, S/N, 03340",21,1,35
A-580-F,ALICANTE,ALBATERA,MARIA DEL MAR GARCIA MOLINA,"AVDA Calvario, 39, 03340",21,1,35
A-814-F,ALICANTE,ALBATERA,FRANCISCO GARCIA CANOVAS,"CALLE Meson, 45, 03340",21,1,35
A-531-F,ALICANTE,ALCALALI,ENCARNACION MOLL MENGUAL,"C Calvari, 7, 03728",13,1,1
A-748-F,ALICANTE,ALCALALI,RAQUEL FERRER GONZALEZ,"CALLE SALAMANCA, 19, 03723",13,8,1
A-642-F,ALICANTE,ALCOCER DE PLANES,SUSANA  MARTINEZ VALLES,"CALLE San Jose, 1, 03841",15,9,15
A-546-F,ALICANTE,ALCOLEJA,GEMMA BERNABEU IVORRA,"AVDA DEL PAIS VALENCIANO, 10, 03814",15,5,14
A-104-F,ALICANTE,ALCOY/ALCOI,MARIA VICENTA CERDA FERRE,"C/ Santa Rosa, 19, 03802",15,2,9
A-122-F,ALICANTE,ALCOY/ALCOI,"INÉS LLOPIS BOLUDA, MARIA JOSÉ LLOPIS BOLUDA","C/ Na Saurina d, EntenÃ§a, 45, 03803",15,2,9
A-126-F,ALICANTE,ALCOY/ALCOI,SANTIAGO LLULL MIR,"C/ Ibi, 20, 03802",15,2,9
A-171-F,ALICANTE,ALCOY/ALCOI,FRANCISCO ENRIQUE DOMINGUEZ,"C/ Oliver, 15, 03802",15,2,9
A-184-F,ALICANTE,ALCOY/ALCOI,MARÍA TERESA PENADES PINILLA,"C/ Sant Nicolau, 18, 03801",15,1,9
A-226-F,ALICANTE,ALCOY/ALCOI,MARGARITA ROBLES SAEZ,"C/ Sant Llorenç, 25, 03801",15,1,9
A-227-F,ALICANTE,ALCOY/ALCOI,ISABEL MARIA RAMIREZ RODRIGUEZ,"C/ AlÃ§amora (els), 19, 03802",15,2,9
A-229-F,ALICANTE,ALCOY/ALCOI,MIGUEL DOMENECH LLORET,"AV Alameda de Camilo Sesto, 53, 03803",15,2,9
A-231-F,ALICANTE,ALCOY/ALCOI,MARÍA CARMEN AZORÍN NAVARRO,"AV Juan Gil - Albert, 13, 03804",15,3,9
A-232-F,ALICANTE,ALCOY/ALCOI,CARLOS DANIEL FLUVIA PEIRO,"AVDA ALAMEDA, 28, 03800",15,2,9
A-23-F,ALICANTE,ALCOY/ALCOI,JORGE BORONAT CORTÉS,"C/ Oliver, 51, 03802",15,2,9
A-247-F,ALICANTE,ALCOY/ALCOI,ALEXANDRA PRATS SEMPERE,"C/ Sant Tomas, 11, 03801",15,1,9
A-266-F,ALICANTE,ALCOY/ALCOI,MIGUEL BORONAT MARTINEZ,"C/ Pintor Casanova, 8, 03801",15,1,9
A-267-F,ALICANTE,ALCOY/ALCOI,MAR VALERO MAS,"AV Pais Valencia, 8, 03801",15,1,9
A-272-F,ALICANTE,ALCOY/ALCOI,Mª BELEN TOMAS GARCIA,"C/ CID, 64, 03803",15,2,9
A-28-F,ALICANTE,ALCOY/ALCOI,MARIA ASCENSION FERRE GIMENO,"C/ Francesc Perera, 4, 03803",15,2,9
A-32-F,ALICANTE,ALCOY/ALCOI,JOSE RAMON SASTRE NOGALES,"C/ Sant Nicolau, 103, 03801",15,1,9
A-338-F,ALICANTE,ALCOY/ALCOI,"JUAN ANTONIO LOPEZ COBELO, CARLOS LOPEZ COBELO","C/ Lluis Braille, 17, 03802",15,2,9
A-353-F,ALICANTE,ALCOY/ALCOI,VERÓNICA SEMPERE MATARREDONA,"AV Juan Gil - Albert, 18, 03804",15,3,9
A-359-F,ALICANTE,ALCOY/ALCOI,"Mª ANGELES CARRATALA BEGUER, CAMILLE JOSE MACARON ","C/ Cami (el), 58, 03801",15,1,9
A-373-F,ALICANTE,ALCOY/ALCOI,EMILIO AURA TEROL,"AV Hispanitat, 39, 03804",15,3,9
A-415-F,ALICANTE,ALCOY/ALCOI,ISABEL GUILL HERRERO,"C/ Serrella, 2, 03802",15,2,9
A-418-F,ALICANTE,ALCOY/ALCOI,JUAN FERNANDEZ GEISSER,"C/ Escultor Peresejo, 36, 03803",15,2,9
